## Raonament:

1. **Probabilitats:**  La màquina transforma el nombre amb les següents probabilitats:
    *  Suma 2: 1/4
    *  Suma 3: 1/4
    *  Multiplica per 2: 1/4
    *  Multiplica per 3: 1/4

2. **Observació:**  Observem que la probabilitat de cada cas és igual.

3. **Probabilitat de c:**  Per a trobar la probabilitat de que c sigui un nombre parell, cal observar quina probabilitat té cada cas possible per a c.

4. **Casos possibles:**
    *  Si a = 1, la probabilitat de c ser parell és 1/4.
    *  Si a = b, la probabilitat de c ser parell és 1/4.
    *  Si a = c, la probabilitat de c ser parell és 1/4.

5. **Probabilitat total:**  La probabilitat de que c sigui un nombre parell és la suma de les probabilitats de cada cas.


## Resposta:

**E) Una altra probabilitat** 

**Explicació:**  La probabilitat de que c sigui un nombre parell és 1/4. 
