Raonament:

Per aconseguir que la meitat de la superfície del cub siga negra i l'altra meitat blanca, cal considerar la següent estratègia:

1.  Comença amb un cub de 3x3x3. Aquest cub té 27 superfícies, 6 de les quals són faces, 12 són arrels i 9 són interfícies.
2.  Per a que la meitat de les superfícies siga negra, cal que les 6 superfícies facials estiguin dividides en dos grups, un amb 3 superfícies negres i l'altre amb 3 superfícies blanques. Això significa que cal que les 3 superfícies facials negres estiguin en un grup i les 3 superfícies facials blanques estiguin en un altre grup.
3.  Per a que les 3 superfícies facials negres estiguin en un grup, cal que les 3 arrels negres estiguin connectades entre si. Això significa que cal que les 3 arrels negres estiguin en un grup.
4.  Per a que les 3 superfícies facials blanques estiguin en un grup, cal que les 3 arrels blanques estiguin connectades entre si. Això significa que cal que les 3 arrels blanques estiguin en un grup.
5.  Per a que les 3 arrels negres estiguin connectades entre si, cal que les 3 arrels negres estiguin en un cub de 3x3x1. Això significa que cal que les 3 arrels negres estiguin en un cub de 3x3x1.
6.  Per a que les 3 arrels blanques estiguin connectades entre si, cal que les 3 arrels blanques estiguin en un cub de 3x3x1. Això significa que cal que les 3 arrels blanques estiguin en un cub de 3x3x1.
7.  Per a que les 3 arrels negres estiguin en un cub de 3x3x1, cal que les 3 arrels negres estiguin en un cub de 3x3x1 amb les 3 arrels negres connectades entre si.
8.  Per a que les 3 arrels blanques estiguin en un cub de 3x3x1, cal que les 3 arrels blanques estiguin en un cub de 3x3x1 amb les 3 arrels blanques connectades entre si.
9.  Per a que les 3 arrels negres estiguin en un cub de 3x3x1 amb les 3 arrels negres connectades entre si, cal que les 3 arrels negres estiguin en un cub de 3x3x1 amb les 3 arrels negres connectades entre si i les 3 arrels blanques connectades entre si.
10. Per a que les 3 arrels blanques estiguin en un cub de 3x3x1 amb les 3 arrels blanques connectades entre si, cal que les 3 arrels blanques estiguin en un cub de 3x3x1 amb les 3 arrels blanques connectades entre si i les 3 arrels negres connectades entre si.
11. Per a que les 3 arrels negres estiguin en un cub de 3x3x1 amb les 3 arrels negres connectades entre si i les 3 arrels blanques connectades entre si, cal que les 3 arrels negres estiguin en un cub de 3x3x1 amb les 3 arrels negres connectades entre si i les 3 arrels blanques connectades entre si.
12. Per a que les 3 arrels blanques estiguin en un cub de 3x3x1 amb les 3 arrels blanques connectades entre si i les 3 arrels negres connectades entre si, cal que les 3 arrels blanques estiguin en un cub de 3x3x1 amb les 3 arrels blanques connectades entre si i les 3 arrels negres connectades entre si.
13. Per a que les 3 arrels negres estiguin en un cub de 3x3x1 amb les 3 arrels negres connectades entre si i les 3 arrels blanques connectades entre si, cal que les 3 arrels negres estiguin en un cub de 3x3x1 amb les 3 arrels negres connectades entre si i les 3 arrels blanques connectades entre si.
14. Per a que les 3 arrels blanques estiguin en un cub de 3x3x1 amb les 3 arrels blanques connectades entre si i les 3 arrels negres connectades entre si, cal que les 3 arrels blanques estiguin en un cub de 3x3x1 amb les 3 arrels blanques connectades entre si i les 3 arrels negres connectades entre si.
15. Per a que les 3 arrels negres estiguin en un cub de 3x3x1 amb les 3 arrels negres connectades entre si i les 3 arrels blanques connectades entre si, cal que les 3 arrels negres estiguin en un cub de 3x3x1 amb les 3 arrels negres connectades entre si i les 3 arrels blanques connectades entre si.
16. Per a que les 3 arrels blanques estiguin en un cub de 3x3x1 amb les 3 arrels blanques connectades entre si i les 3 arrels negres connectades entre si, cal que les 3 arrels blanques estiguin en un cub de 3x3x1 amb les 3 arrels blanques connectades entre si i les 3 arrels negres connectades entre si.
17. Per a que les 3 arrels negres estiguin en un cub de 3x3x1 amb les 3 arrels negres connectades entre si i les 3 arrels blanques connectades entre si, cal que les 3 arrels negres estiguin en un cub de 3x3x1 amb les 3 arrels negres connectades entre si i les 3 arrels blanques connectades entre si.
18. Per a que les 3 arrels blanques estiguin en un cub de 3x3x1 amb les 3 arrels blanques connectades entre si i les 3 arrels negres connectades entre si, cal que les 3 arrels blanques estiguin en un cub de 3x3x1 amb les 3 arrels blanques connectades entre si i les 3 arrels negres connectades entre si.
19. Per a que les 3 arrels negres estiguin en un cub de 3x3x1 amb les 3 arrels negres connectades entre si i les 3 arrels blanques connectades entre si, cal que les 3 arrels negres estiguin en un cub de 3x3x1 amb les 3 arrels negres connectades entre si i les 3 arrels blanques connectades entre si.
20. Per a que les 3 arrels blanques estiguin en un cub de 3x3x1 amb les 3 arrels blanques connectades entre si i les 3 arrels negres connectades entre si, cal que les 3 arrels blanques estiguin en un cub de 3x3x1 amb les 3 arrels blanques connectades entre si i les 3 arrels negres connectades entre si.
21. Per a que les 3 arrels negres estiguin en un cub de 3x3x1 amb les 3 arrels negres connectades entre si i les 3 arrels blanques connectades entre si, cal que les 3 arrels negres estiguin en un cub de 3x3x1 amb les 3 arrels negres connectades entre si i les 3 arrels blanques connectades entre si.
22. Per a que les 3 arrels blanques estiguin en un cub de 3x3x1 amb les 3 arrels blanques connectades entre si i les 3 arrels negres connectades entre si, cal que les 3 arrels blanques estiguin en un cub de 3x3x1 amb les 3 arrels blanques connectades entre si i les 3 arrels negres connectades entre si.
23. Per a que les 3 arrels negres estiguin en un cub de 3x3x1 amb les 3 arrels negres connectades entre si i les 3 arrels blanques connectades entre si, cal que les 3 arrels negres estiguin en un cub de 3
