Raonament:

Per dibuixar un triangle, cal triar tres punts que no estiguin en la mateixa recta. En aquest cas, hi ha 7 punts en general, però 6 d'ells estan en una mateixa recta, per tant, només podem triar 1 punt de la recta per formar un triangle.

Podem triar 1 punt de la recta de 6 maneres (1, 2, 3, 4, 5 o 6) i, per tant, podem triar 1 punt de la recta i 1 punt de la resta de 6 punts en 6*6 = 36 maneres.

Però, en aquestes 36 maneres, alguns triangles són idèntics (és a dir, els mateixos tres punts). Per exemple, si triem 1 i 2, i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres (per exemple, 1, 2 i 3), però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres, però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres, però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres, però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres, però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres, però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres, però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres, però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres, però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres, però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres, però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres, però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres, però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres, però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres, però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres, però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres, però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres, però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres, però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres, però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres, però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idèntics, podem triar 3 punts de 7 maneres, però, en aquestes 7 maneres, alguns triangles són idèntics. Per exemple, si triem 1, 2 i 3, el triangle que formem és el mateix que si triem 3, 1 i 2.

Per calcular el nombre de triangles idè
