Raonament:

Per determinar els possibles residus diferents quan fem totes les divisions dels cub dels nombres naturals per 9, podem analitzar els possibles residus quan fem divisions de 1 a 9.

1. 1^3 = 1, quan el dividim per 9, el residu és 1.
2. 2^3 = 8, quan el dividim per 9, el residu és 8.
3. 3^3 = 27, quan el dividim per 9, el residu és 0.
4. 4^3 = 64, quan el dividim per 9, el residu és 1.
5. 5^3 = 125, quan el dividim per 9, el residu és 8.
6. 6^3 = 216, quan el dividim per 9, el residu és 0.
7. 7^3 = 343, quan el dividim per 9, el residu és 1.
8. 8^3 = 512, quan el dividim per 9, el residu és 8.
9. 9^3 = 729, quan el dividim per 9, el residu és 0.

A partir d'aquestes anàlisis, podem conèixer que els residus diferents quan fem divisions dels cub dels nombres naturals per 9 són 0, 1 i 8.

Resposta: C) 3
