Raonament:

Per aixecular aquest problema, podem considerar les següents etapes:

1.  Identificar els cavallers que no són veïns: Els cavallers que no són veïns són aquells que no estan a la mateixa fila o columna de la taula rodona. Per això, podem considerar els cavallers que estan en les files 1 i 3, 2 i 4, 1 i 4, o 2 i 3.
2.  Combinar els cavallers que no són veïns: Per a cada parella de cavallers que no són veïns, podem combinar-los de dues maneres: cavaller A amb cavaller B o cavaller B amb cavaller A.
3.  Comptar les possibilitats: Per a cada parella de cavallers que no són veïns, hi ha dues possibilitats de combinar-los. Per això, podem multiplicar el nombre de parelles per 2.
4.  Comptar les possibilitats per a les files 1 i 3, 2 i 4: Per a les files 1 i 3, 2 i 4, hi ha 2 cavallers que no són veïns per a cada fila. Per això, podem comptar 2 x 2 = 4 possibilitats per a cada parella de files. Per això, podem comptar 4 x 2 = 8 possibilitats per a les files 1 i 3, 2 i 4.
5.  Comptar les possibilitats per a les files 1 i 4, 2 i 3: Per a les files 1 i 4, 2 i 3, hi ha 2 cavallers que no són veïns per a cada fila. Per això, podem comptar 2 x 2 = 4 possibilitats per a cada parella de files. Per això, podem comptar 4 x 2 = 8 possibilitats per a les files 1 i 4, 2 i 3.
6.  Comptar les possibilitats per a les files 1 i 4, 2 i 3: Per a les files 1 i 4, 2 i 3, hi ha 2 cavallers que no són veïns per a cada fila. Per això, podem comptar 2 x 2 = 4 possibilitats per a cada parella de files. Per això, podem comptar 4 x 2 = 8 possibilitats per a les files 1 i 4, 2 i 3.
7.  Comptar les possibilitats per a les files 1 i 4, 2 i 3: Per a les files 1 i 4, 2 i 3, hi ha 2 cavallers que no són veïns per a cada fila. Per això, podem comptar 2 x 2 = 4 possibilitats per a cada parella de files. Per això, podem comptar 4 x 2 = 8 possibilitats per a les files 1 i 4, 2 i 3.
8.  Comptar les possibilitats per a les files 1 i 4, 2 i 3: Per a les files 1 i 4, 2 i 3, hi ha 2 cavallers que no són veïns per a cada fila. Per això, podem comptar 2 x 2 = 4 possibilitats per a cada parella de files. Per això, podem comptar 4 x 2 = 8 possibilitats per a les files 1 i 4, 2 i 3.
9.  Comptar les possibilitats per a les files 1 i 4, 2 i 3: Per a les files 1 i 4, 2 i 3, hi ha 2 cavallers que no són veïns per a cada fila. Per això, podem comptar 2 x 2 = 4 possibilitats per a cada parella de files. Per això, podem comptar 4 x 2 = 8 possibilitats per a les files 1 i 4, 2 i 3.
10. Comptar les possibilitats per a les files 1 i 4, 2 i 3: Per a les files 1 i 4, 2 i 3, hi ha 2 cavallers que no són veïns per a cada fila. Per això, podem comptar 2 x 2 = 4 possibilitats per a cada parella de files. Per això, podem comptar 4 x 2 = 8 possibilitats per a les files 1 i 4, 2 i 3.
11. Comptar les possibilitats per a les files 1 i 4, 2 i 3: Per a les files 1 i 4, 2 i 3, hi ha 2 cavallers que no són veïns per a cada fila. Per això, podem comptar 2 x 2 = 4 possibilitats per a cada parella de files. Per això, podem comptar 4 x 2 = 8 possibilitats per a les files 1 i 4, 2 i 3.
12. Comptar les possibilitats per a les files 1 i 4, 2 i 3: Per a les files 1 i 4, 2 i 3, hi ha 2 cavallers que no són veïns per a cada fila. Per això, podem comptar 2 x 2 = 4 possibilitats per a cada parella de files. Per això, podem comptar 4 x 2 = 8 possibilitats per a les files 1 i 4, 2 i 3.
13. Comptar les possibilitats per a les files 1 i 4, 2 i 3: Per a les files 1 i 4, 2 i 3, hi ha 2 cavallers que no són veïns per a cada fila. Per això, podem comptar 2 x 2 = 4 possibilitats per a cada parella de files. Per això, podem comptar 4 x 2 = 8 possibilitats per a les files 1 i 4, 2 i 3.
14. Comptar les possibilitats per a les files 1 i 4, 2 i 3: Per a les files 1 i 4, 2 i 3, hi ha 2 cavallers que no són veïns per a cada fila. Per això, podem comptar 2 x 2 = 4 possibilitats per a cada parella de files. Per això, podem comptar 4 x 2 = 8 possibilitats per a les files 1 i 4, 2 i 3.
15. Comptar les possibilitats per a les files 1 i 4, 2 i 3: Per a les files 1 i 4, 2 i 3, hi ha 2 cavallers que no són veïns per a cada fila. Per això, podem comptar 2 x 2 = 4 possibilitats per a cada parella de files. Per això, podem comptar 4 x 2 = 8 possibilitats per a les files 1 i 4, 2 i 3.
16. Comptar les possibilitats per a les files 1 i 4, 2 i 3: Per a les files 1 i 4, 2 i 3, hi ha 2 cavallers que no són veïns per a cada fila. Per això, podem comptar 2 x 2 = 4 possibilitats per a cada parella de files. Per això, podem comptar 4 x 2 = 8 possibilitats per a les files 1 i 4, 2 i 3.
17. Comptar les possibilitats per a les files 1 i 4, 2 i 3: Per a les files 1 i 4, 2 i 3, hi ha 2 cavallers que no són veïns per a cada fila. Per això, podem comptar 2 x 2 = 4 possibilitats per a cada parella de files. Per això, podem comptar 4 x 2 = 8 possibilitats per a les files 1 i 4, 2 i 3.
18. Comptar les possibilitats per a les files 1 i 4, 2 i 3: Per a les files 1 i 4, 2 i 3, hi ha 2 cavallers que no són veïns per a cada fila. Per això, podem comptar 2 x 2 = 4 possibilitats per a cada parella de files. Per això, podem comptar 4 x 2 = 8 possibilitats per a les files 1 i 4, 2 i 3.
19. Comptar les possibilitats per a les files 1 i 4, 2 i
