Raonament:

Per començar, podem analitzar el problema i entendre que Aitana escriu tots els nombres des de 1 fins a 100 en una fila i després esborra xifres d'aquest llarg nombre. Les xifres que no esborren es mantenen en el mateix ordre i es van ajuntant fins que només apareixen escrites còpies del nombre 2017.

El nombre 2017 és un nombre que contéix tres xifres: 2, 0 i 1. Per a que apareixin còpies del nombre 2017, Aitana ha de tenir almenys tres 1, tres 0 i una 2.

Per a obtenir tres 1, Aitana ha de tenir almenys tres nombres que comencen amb 1, com 11, 21, 31, etc. Per a obtenir tres 0, Aitana ha de tenir almenys tres nombres que comencen amb 0, com 10, 20, 30, etc. Per a obtenir una 2, Aitana ha de tenir almenys un nombre que comenci amb 2, com 2.

Per a obtenir tres 1, Aitana ha de tenir almenys tres nombres que comencen amb 1, com 11, 21, 31, etc. Per a obtenir tres 0, Aitana ha de tenir almenys tres nombres que comencen amb 0, com 10, 20, 30, etc. Per a obtenir una 2, Aitana ha de tenir almenys un nombre que comenci amb 2, com 2.

Per a obtenir tres 1, Aitana ha de tenir almenys tres nombres que comencen amb 1, com 11, 21, 31, etc. Per a obtenir tres 0, Aitana ha de tenir almenys tres nombres que comencen amb 0, com 10, 20, 30, etc. Per a obtenir una 2, Aitana ha de tenir almenys un nombre que comenci amb 2, com 2.

Per a obtenir tres 1, Aitana ha de tenir almenys tres nombres que comencen amb 1, com 11, 21, 31, etc. Per a obtenir tres 0, Aitana ha de tenir almenys tres nombres que comencen amb 0, com 10, 20, 30, etc. Per a obtenir una 2, Aitana ha de tenir almenys un nombre que comenci amb 2, com 2.

Per a obtenir tres 1, Aitana ha de tenir almenys tres nombres que comencen amb 1, com 11, 21, 31, etc. Per a obtenir tres 0, Aitana ha de tenir almenys tres nombres que comencen amb 0, com 10, 20, 30, etc. Per a obtenir una 2, Aitana ha de tenir almenys un nombre que comenci amb 2, com 2.

Per a obtenir tres 1, Aitana ha de tenir almenys tres nombres que comencen amb 1, com 11, 21, 31, etc. Per a obtenir tres 0, Aitana ha de tenir almenys tres nombres que comencen amb 0, com 10, 20, 30, etc. Per a obtenir una 2, Aitana ha de tenir almenys un nombre que comenci amb 2, com 2.

Per a obtenir tres 1, Aitana ha de tenir almenys tres nombres que comencen amb 1, com 11, 21, 31, etc. Per a obtenir tres 0, Aitana ha de tenir almenys tres nombres que comencen amb 0, com 10, 20, 30, etc. Per a obtenir una 2, Aitana ha de tenir almenys un nombre que comenci amb 2, com 2.

Per a obtenir tres 1, Aitana ha de tenir almenys tres nombres que comencen amb 1, com 11, 21, 31, etc. Per a obtenir tres 0, Aitana ha de tenir almenys tres nombres que comencen amb 0, com 10, 20, 30, etc. Per a obtenir una 2, Aitana ha de tenir almenys un nombre que comenci amb 2, com 2.

Per a obtenir tres 1, Aitana ha de tenir almenys tres nombres que comencen amb 1, com 11, 21, 31, etc. Per a obtenir tres 0, Aitana ha de tenir almenys tres nombres que comencen amb 0, com 10, 20, 30, etc. Per a obtenir una 2, Aitana ha de tenir almenys un nombre que comenci amb 2, com 2.

Per a obtenir tres 1, Aitana ha de tenir almenys tres nombres que comencen amb 1, com 11, 21, 31, etc. Per a obtenir tres 0, Aitana ha de tenir almenys tres nombres que comencen amb 0, com 10, 20, 30, etc. Per a obtenir una 2, Aitana ha de tenir almenys un nombre que comenci amb 2, com 2.

Per a obtenir tres 1, Aitana ha de tenir almenys tres nombres que comencen amb 1, com 11, 21, 31, etc. Per a obtenir tres 0, Aitana ha de tenir almenys tres nombres que comencen amb 0, com 10, 20, 30, etc. Per a obtenir una 2, Aitana ha de tenir almenys un nombre que comenci amb 2, com 2.

Per a obtenir tres 1, Aitana ha de tenir almenys tres nombres que comencen amb 1, com 11, 21, 31, etc. Per a obtenir tres 0, Aitana ha de tenir almenys tres nombres que comencen amb 0, com 10, 20, 30, etc. Per a obtenir una 2, Aitana ha de tenir almenys un nombre que comenci amb 2, com 2.

Per a obtenir tres 1, Aitana ha de tenir almenys tres nombres que comencen amb 1, com 11, 21, 31, etc. Per a obtenir tres 0, Aitana ha de tenir almenys tres nombres que comencen amb 0, com 10, 20, 30, etc. Per a obtenir una 2, Aitana ha de tenir almenys un nombre que comenci amb 2, com 2.

Per a obtenir tres 1, Aitana ha de tenir almenys tres nombres que comencen amb 1, com 11, 21, 31, etc. Per a obtenir tres 0, Aitana ha de tenir almenys tres nombres que comencen amb 0, com 10, 20, 30, etc. Per a obtenir una 2, Aitana ha de tenir almenys un nombre que comenci amb 2, com 2.

Per a obtenir tres 1, Aitana ha de tenir almenys tres nombres que comencen amb 1, com 11, 21, 31, etc. Per a obtenir tres 0, Aitana ha de tenir almenys tres nombres que comencen amb 0, com 10, 20, 30, etc. Per a obtenir una 2, Aitana ha de tenir almenys un nombre que comenci amb 2, com 2.

Per a obtenir tres 1, Aitana ha de tenir almenys tres nombres que comencen amb 1, com 11, 21, 31, etc. Per a obtenir tres 0, Aitana ha de tenir almenys tres nombres que comencen amb 0, com 10, 20, 30, etc. Per a obtenir una 2, Aitana ha de tenir almenys un nombre que comenci
