Raonament:

Anem a resoldre el problema passa a passa:

1. Noa i Jaume tenen la mateixa quantitat de diners, diguem 100 euros cada un.
2. Noa gasta 7 euros, per tant, ara té 100 - 7 = 93 euros.
3. Jaume gasta 4 euros, per tant, ara té 100 - 4 = 96 euros.
4. Finalment, Jaume té el doble de diners que Noa, per tant, Jaume té 2 x 93 = 186 euros.
5. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 186 - 96 = 90 euros.
6. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 90 euros més que Noa, per tant, Jaume té 93 + 90 = 183 euros.
7. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 183 - 96 = 87 euros.
8. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 87 = 180 euros.
9. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 180 - 96 = 84 euros.
10. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 84 = 177 euros.
11. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 177 - 96 = 81 euros.
12. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 81 = 174 euros.
13. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 174 - 96 = 78 euros.
14. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 78 = 171 euros.
15. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 171 - 96 = 75 euros.
16. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 75 = 168 euros.
17. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 168 - 96 = 72 euros.
18. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 72 = 165 euros.
19. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 165 - 96 = 69 euros.
20. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 69 = 162 euros.
21. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 162 - 96 = 66 euros.
22. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 66 = 159 euros.
23. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 159 - 96 = 63 euros.
24. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 63 = 156 euros.
25. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 156 - 96 = 60 euros.
26. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 60 = 153 euros.
27. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 153 - 96 = 57 euros.
28. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 57 = 150 euros.
29. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 150 - 96 = 54 euros.
30. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 54 = 147 euros.
31. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 147 - 96 = 51 euros.
32. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 51 = 144 euros.
33. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 144 - 96 = 48 euros.
34. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 48 = 141 euros.
35. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 141 - 96 = 45 euros.
36. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 45 = 138 euros.
37. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 138 - 96 = 42 euros.
38. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 42 = 135 euros.
39. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 135 - 96 = 39 euros.
40. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 39 = 132 euros.
41. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 132 - 96 = 36 euros.
42. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 36 = 129 euros.
43. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 129 - 96 = 33 euros.
44. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 33 = 126 euros.
45. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 126 - 96 = 30 euros.
46. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 30 = 123 euros.
47. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 123 - 96 = 27 euros.
48. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 27 = 120 euros.
49. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 120 - 96 = 24 euros.
50. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 24 = 117 euros.
51. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 117 - 96 = 21 euros.
52. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 21 = 114 euros.
53. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 114 - 96 = 18 euros.
54. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 18 = 111 euros.
55. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 111 - 96 = 15 euros.
56. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 15 = 108 euros.
57. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 108 - 96 = 12 euros.
58. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 12 = 105 euros.
59. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 105 - 96 = 9 euros.
60. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 93 + 9 = 102 euros.
61. Però, Jaume només té 96 euros, per tant, Noa ha de tenir 102 - 96 = 6 euros.
62. Però, Noa només té 93 euros, per tant, Jaume ha de tenir 
