Raonament:

Per calcular la proporció entre els xics i les xiques, primer cal calcular la quantitat de xics i xiques en l'aula.

Es coneix que la mitjana de l'edat dels estudiants és 15, però no se'n coneix la quantitat exacta. Això significa que no podem calcular directament la proporció entre els xics i les xiques.

Per circumventar aquest problema, podem considerar la mitjana de l'edat dels xics i les xiques com a mitjanes relatives. La mitjana de l'edat dels xics és 17 i la de les xiques és 12.

Suposem que hi ha x xics i y xiques. La mitjana de l'edat dels xics és 17, però no sabem quantes vegades és major que la mitjana de l'edat de l'aula (15). Això significa que la mitjana de l'edat dels xics és 17 vegades major que la mitjana de l'edat de l'aula.

De manera similar, la mitjana de l'edat de les xiques és 12 vegades menor que la mitjana de l'edat de l'aula.

Això significa que la mitjana de l'edat dels xics és 17 vegades major que la mitjana de l'edat de l'aula, i la mitjana de l'edat de les xiques és 12 vegades menor que la mitjana de l'edat de l'aula.

Per calcular la proporció, podem establir una proporcionalitat:

17x / 12y = 17 / 15

Resolent aquesta proporcionalitat, obtenim:

x / y = 17 * 15 / 12

x / y = 85/8

x / y = 10,625 / 8

x / y = 1331 / 1024

x / y = 1331 / 1024 ≈ 1,3

Això significa que per cada 1 xica, hi ha aproximadament 1,3 xics.

Per simplificar, podem dividir per 1,3:

x / y ≈ 1 / 0,769

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

x / y ≈ 1,3

