Raonament:

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment, 4A + B.

Per això, hem de considerar els nombres de 2 dígits que compleixen la condició de ser 4 vegades la suma dels seus dígits. Aquesta condició implica que si el nombre és AB, la suma dels seus dígits ha de ser 4 vegades AB, o equivalentment,
