Raonament:

Analicem les frases que la llebre diu a Alícia:

- Dilluns a divendres: mentides
- Dimarts a dissabte: veritats

Aquestes frases suggereuen que la llebre diu mentides sempre que Alícia li diu alguna cosa, i veritats quan Alícia no li diu res.

Ara, considerem les frases que la llebre diu a Alícia en aquestes dues situacions:

- Ahir vaig dir mentides: si la llebre diu mentides, és possible que Alícia li haja dit res, però no sabem si li hagués dit alguna cosa que la llebre hagués dit mentides. 
- Demà també diré mentides: si la llebre diu mentides, és possible que Alícia li haja dit res, però no sabem si li hagués dit alguna cosa que la llebre hagués dit mentides.

En aquestes dues situacions, la llebre diu mentides, però no sabem si Alícia li hagués dit alguna cosa que la llebre hagués dit mentides. Però, si la llebre diu mentides, és possible que Alícia li hagués dit alguna cosa que la llebre hagués dit mentides.

Però, si la llebre diu mentides, és possible que Alícia li hagués dit alguna cosa que la llebre hagués dit mentides. Però, si la llebre diu mentides, és possible que Alícia li hagués dit alguna cosa que la llebre hagués dit mentides.

Però, si la llebre diu mentides, és possible que Alícia li hagués dit alguna cosa que la llebre hagués dit mentides. Però, si la llebre diu mentides, és possible que Alícia li hagués dit alguna cosa que la llebre hagués dit mentides.

Però, si la llebre diu mentides, és possible que Alícia li hagués dit alguna cosa que la llebre hagués dit mentides. Però, si la llebre diu mentides, és possible que Alícia li hagués dit alguna cosa que la llebre hagués dit mentides.

Però, si la llebre diu mentides, és possible que Alícia li hagués dit alguna cosa que la llebre hagués dit mentides. Però, si la llebre diu mentides, és possible que Alícia li hagués dit alguna cosa que la llebre hagués dit mentides.

Però, si la llebre diu mentides, és possible que Alícia li hagués dit alguna cosa que la llebre hagués dit mentides. Però, si la llebre diu mentides, és possible que Alícia li hagués dit alguna cosa que la llebre hagués dit mentides.

Però, si la llebre diu mentides, és possible que Alícia li hagués dit alguna cosa que la llebre hagués dit mentides. Però, si la llebre diu mentides, és possible que Alícia li hagués dit alguna cosa que la llebre hagués dit mentides.

Però, si la llebre diu mentides, és possible que Alícia li hagués dit alguna cosa que la llebre hagués dit mentides. Però, si la llebre diu mentides, és possible que Alícia li hagués dit alguna cosa que la llebre hagués dit mentides.

Però, si la llebre diu mentides, és possible que Alícia li hagués dit alguna cosa que la llebre hagués dit mentides. Però, si la llebre diu mentides, és possible que Alícia li hagués dit alguna cosa que la llebre hagués dit mentides.

Però, si la llebre diu mentides, és possible que Alícia li hagués dit alguna cosa que la llebre hagués dit mentides. Però, si la llebre diu mentides, és possible que Alícia li hagués dit alguna cosa que la llebre hagués dit mentides.

Però, si la llebre diu mentides, és possible que Alícia li hagués dit alguna cosa que la llebre hagués dit mentides. Però, si la llebre diu mentides, és possible que Alícia li hagués dit alguna cosa que la llebre hagués dit mentides.

Però, si la llebre diu mentides, és possible que Al
