Raonament:

Aniré resolent el problema passant per etapes.

1.  Primera etapa: Suposem que Maria tenia x anys quan Joan va néixer. Això significa que Joan tenia x anys quan Maria tenia x+1 anys.
2.  Segona etapa: Segons la primera informació, quan Joan va néixer, Maria tenia un terç de l'edat que llavors tenia la mare. Això significa que Maria tenia 3x anys quan Joan va néixer.
3.  Tercera etapa: Segons la segona informació, hui l'edat de Maria és la meitat de l'edat que ara té la mare. Això significa que Maria té 2y anys i la mare té 4y anys.
4.  Quarta etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
5.  Cinquena etapa: Podem escriure una equació basada en la primera informació: 3x = 4y - x. Això significa que 4y = 4x + x, que és 5x.
6.  Sisena etapa: Podem escriure una equació basada en la segona informació: 2y = 2y. Això significa que 2y = 2y, que és una identitat.
7.  Setena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
8.  Vuitena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
9.  Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
10. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
11. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
12. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
13. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
14. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
15. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
16. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
17. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
18. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
19. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
20. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
21. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
22. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
23. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
24. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
25. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
26. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
27. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
28. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
29. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
30. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
31. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
32. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
33. Duesonsetena etapa: Podem escriure una equació basada en la segona informació: 2y = (1/2) \* 4y. Això significa que 2y = 2y, que és una identitat.
34. Duesonsetena etapa: Podem escriure una equació bas
