Raonament:

Primament, cal determinar la velocitat de Cris i Roc. Sabem que Cris tarda 60 minuts a fer el recorregut i Roc en tarda 90 minuts. Suposem que el recorregut és de 60 km (aquesta unitat és comuna per a les velocitats en km/h).

La velocitat de Cris és: 60 km / 60 minuts = 1 km/minut

La velocitat de Roc és: 60 km / 90 minuts = 2/3 km/minut

A les 10 del matí, Cris i Roc surten. Després de 60 minuts, Cris ha recorregut 60 km i Roc ha recorregut 60 * (2/3) = 40 km.

A les 10.60, Cris ha arribat a Q i Roc a 40 km de P.

A les 10.60, Cris i Roc han recorregut 60 + 40 = 100 km.

A les 10.60, Cris i Roc han recorregut la meitat del recorregut total, que és de 200 km.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la meitat del recorregut total.

A les 10.60, Cris i Roc han recorregut 100 km, que és la me
