Raonament:

El diàmetre del primer cercle és igual a 4, el que significa que el radi del primer cercle és igual a 2.

El segon cercle és tan gran com és possible dins del primer cercle, el que significa que el diàmetre del segon cercle és igual a la longitud del diàmetre del primer cercle, que és 4. El radi del segon cercle és igual a 2.

El tercer cercle és tan gran com és possible dins del segon cercle, el que significa que el diàmetre del tercer cercle és igual a la longitud del diàmetre del segon cercle, que és 4. El radi del tercer cercle és igual a 2.

El quart cercle és tan gran com és possible dins del tercer cercle, el que significa que el diàmetre del quart cercle és igual a la longitud del diàmetre del tercer cercle, que és 4. El radi del quart cercle és igual a 2.

Però, si considerem el quadrat que és tan gran com és possible dins del quart cercle, el diàmetre del quadrat serà igual a la longitud del diàmetre del quart cercle, que és 4. El quadrat és tan gran com és possible dins del quart cercle, el que significa que el diàmetre del quadrat és igual a la longitud del diàmetre del quart cercle, que és 4.

El diàmetre del quadrat és igual a la longitud del diàmetre del quart cercle, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

Però, si considerem el diàmetre del quart cercle, el diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4. El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 4.

El diàmetre del quart cercle és igual a la longitud del diàmetre del quadrat, que és 
