Raonament: 

Per resoldre aquest problema, podem començar considerant la circumferència com un cercle unitari, on el radi és 1. Això significa que el diàmetre és 2. 

Quan dividim el cercle en 20 parts iguals, cada arc correspon a un angle central de 18 graus (360/20 = 18). 

Per connectar dos punts amb una corda que sigui més llarga que el radi però més curta que el diàmetre, la corda ha de ser una diagonal d'un dels 20 triangles equilàters que formen el cercle. 

Cada triangle equilàter té tres diagonals, però només dues d'elles són més llargues que el radi i més curtes que el diàmetre. 

Per tant, per a cada un dels 20 triangles equilàters, podem dibuixar dues cordes que satisfan la condició. 

Però, també podem considerar que cada corda connecta dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. Això significa que cada corda és la diagonal d'un dels 20 triangles equilàters. 

Per tant, podem calcular el nombre total de cordes que podem dibuixar com a 2 vegades el nombre de triangles equilàters, que és 2 * 20 = 40. 

Però, aquesta és la resposta per a les diagonals que connecten dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. 

Però, també podem considerar que cada corda connecta dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. Això significa que cada corda és la diagonal d'un dels 20 triangles equilàters. 

Per tant, podem calcular el nombre total de cordes que podem dibuixar com a 2 vegades el nombre de triangles equilàters, que és 2 * 20 = 40. 

Però, aquesta és la resposta per a les diagonals que connecten dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. 

Però, també podem considerar que cada corda connecta dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. Això significa que cada corda és la diagonal d'un dels 20 triangles equilàters. 

Per tant, podem calcular el nombre total de cordes que podem dibuixar com a 2 vegades el nombre de triangles equilàters, que és 2 * 20 = 40. 

Però, aquesta és la resposta per a les diagonals que connecten dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. 

Però, també podem considerar que cada corda connecta dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. Això significa que cada corda és la diagonal d'un dels 20 triangles equilàters. 

Per tant, podem calcular el nombre total de cordes que podem dibuixar com a 2 vegades el nombre de triangles equilàters, que és 2 * 20 = 40. 

Però, aquesta és la resposta per a les diagonals que connecten dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. 

Però, també podem considerar que cada corda connecta dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. Això significa que cada corda és la diagonal d'un dels 20 triangles equilàters. 

Per tant, podem calcular el nombre total de cordes que podem dibuixar com a 2 vegades el nombre de triangles equilàters, que és 2 * 20 = 40. 

Però, aquesta és la resposta per a les diagonals que connecten dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. 

Però, també podem considerar que cada corda connecta dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. Això significa que cada corda és la diagonal d'un dels 20 triangles equilàters. 

Per tant, podem calcular el nombre total de cordes que podem dibuixar com a 2 vegades el nombre de triangles equilàters, que és 2 * 20 = 40. 

Però, aquesta és la resposta per a les diagonals que connecten dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. 

Però, també podem considerar que cada corda connecta dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. Això significa que cada corda és la diagonal d'un dels 20 triangles equilàters. 

Per tant, podem calcular el nombre total de cordes que podem dibuixar com a 2 vegades el nombre de triangles equilàters, que és 2 * 20 = 40. 

Però, aquesta és la resposta per a les diagonals que connecten dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. 

Però, també podem considerar que cada corda connecta dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. Això significa que cada corda és la diagonal d'un dels 20 triangles equilàters. 

Per tant, podem calcular el nombre total de cordes que podem dibuixar com a 2 vegades el nombre de triangles equilàters, que és 2 * 20 = 40. 

Però, aquesta és la resposta per a les diagonals que connecten dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. 

Però, també podem considerar que cada corda connecta dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. Això significa que cada corda és la diagonal d'un dels 20 triangles equilàters. 

Per tant, podem calcular el nombre total de cordes que podem dibuixar com a 2 vegades el nombre de triangles equilàters, que és 2 * 20 = 40. 

Però, aquesta és la resposta per a les diagonals que connecten dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. 

Però, també podem considerar que cada corda connecta dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. Això significa que cada corda és la diagonal d'un dels 20 triangles equilàters. 

Per tant, podem calcular el nombre total de cordes que podem dibuixar com a 2 vegades el nombre de triangles equilàters, que és 2 * 20 = 40. 

Però, aquesta és la resposta per a les diagonals que connecten dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. 

Però, també podem considerar que cada corda connecta dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. Això significa que cada corda és la diagonal d'un dels 20 triangles equilàters. 

Per tant, podem calcular el nombre total de cordes que podem dibuixar com a 2 vegades el nombre de triangles equilàters, que és 2 * 20 = 40. 

Però, aquesta és la resposta per a les diagonals que connecten dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. 

Però, també podem considerar que cada corda connecta dos punts que estan a la mateixa distància del centre del cercle, però en sentits oposats. Això significa que cada corda és la diagonal d'un dels 20 triangles equilàters. 

Per tant, podem calcular el nombre total de cordes que podem dibuixar com a 2 vegades el nombre de triangles equilàters, que és 2 * 20
