Raonament: Per resoldre aquest problema, podem començar per analitzar el nombre 10¹⁰¹. Aquest nombre és igual a 10 elevat a la potència de 101. Per exemple, 10¹⁰¹ és igual a 10 multiplicat per si mateix 101 vegades.

Quan restem 9 del nombre 10¹⁰¹, podem escriure-ho com a 10¹⁰¹ - 9. Per simplificar-ho, podem escriure 10¹⁰¹ com a 10 elevat a la potència de 101, que és igual a 10 multiplicat per si mateix 101 vegades.

Ara, quan restem 9 del nombre 10¹⁰¹, podem escriure-ho com a (10 elevat a la potència de 101) - 9. Per simplificar-ho, podem escriure 10 elevat a la potència de 101 com a 10 multiplicat per si mateix 101 vegades.

Quan restem 9 del nombre 10 multiplicat per si mateix 101 vegades, podem escriure-ho com a 10 multiplicat per si mateix 101 vegades menys 9.

Ara, quan restem 9 del nombre 10 multiplicat per si mateix 101 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10 menys 9.

Ara, quan restem 9 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a 10 multiplicat per si mateix 100 vegades menys 10.

Ara, quan restem 10 del nombre 10 multiplicat per si mateix 100 vegades, podem escriure-ho com a
