Raonament: 

Per resoldre aquest problema, podem començar considerant el nombre total d'alumnes a la classe, que és la suma del nombre de xiques i xics: 14 xiques + 12 xics = 26 alumnes.

Si es selecciona la meitat de l'alumnat perquè surti de la classe, aleshores 26 / 2 = 13 alumnes sortiran.

Per assegurar que almenys 3 xiques surtin de la classe, podem considerar el pitjor cas possible, on tots els xics que surten són els 12 xics més 1 xica. Això significa que només 1 xica més sortirà de la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe. 

Però, si hi ha 3 xiques que surten, aleshores hi haurà 10 xiques que romanen a la classe.
