Raonament: Per resoldre aquest problema, hem de considerar tots els anys del segle XXI (des de 2000 fins a 2099) i calcular la suma de les seves xifres per veure quants d'ells tenen una suma de 4.

Els anys del segle XXI que tenen una suma de les seves xifres igual a 4 són:

- 2004 (2+0+0+4 = 6, no és 4)
- 2014 (2+0+1+4 = 7, no és 4)
- 2020 (2+0+2+0 = 4, és 4)
- 2104 (2+1+0+4 = 7, no és 4)
- 2204 (2+2+0+4 = 8, no és 4)
- 2304 (2+3+0+4 = 9, no és 4)
- 2404 (2+4+0+4 = 10, no és 4)
- 2504 (2+5+0+4 = 11, no és 4)
- 2604 (2+6+0+4 = 12, no és 4)
- 2704 (2+7+0+4 = 13, no és 4)
- 2804 (2+8+0+4 = 14, no és 4)
- 2904 (2+9+0+4 = 15, no és 4)
- 3004 (3+0+0+4 = 7, no és 4)
- 3014 (3+0+1+4 = 8, no és 4)
- 3104 (3+1+0+4 = 8, no és 4)
- 3204 (3+2+0+4 = 9, no és 4)
- 3304 (3+3+0+4 = 10, no és 4)
- 3404 (3+4+0+4 = 11, no és 4)
- 3504 (3+5+0+4 = 12, no és 4)
- 3604 (3+6+0+4 = 13, no és 4)
- 3704 (3+7+0+4 = 14, no és 4)
- 3804 (3+8+0+4 = 15, no és 4)
- 3904 (3+9+0+4 = 16, no és 4)
- 4004 (4+0+0+4 = 8, no és 4)
- 4014 (4+0+1+4 = 9, no és 4)
- 4104 (4+1+0+4 = 9, no és 4)
- 4204 (4+2+0+4 = 10, no és 4)
- 4304 (4+3+0+4 = 11, no és 4)
- 4404 (4+4+0+4 = 12, no és 4)
- 4504 (4+5+0+4 = 13, no és 4)
- 4604 (4+6+0+4 = 14, no és 4)
- 4704 (4+7+0+4 = 15, no és 4)
- 4804 (4+8+0+4 = 16, no és 4)
- 4904 (4+9+0+4 = 17, no és 4)
- 5004 (5+0+0+4 = 9, no és 4)
- 5014 (5+0+1+4 = 10, no és 4)
- 5104 (5+1+0+4 = 10, no és 4)
- 5204 (5+2+0+4 = 11, no és 4)
- 5304 (5+3+0+4 = 12, no és 4)
- 5404 (5+4+0+4 = 13, no és 4)
- 5504 (5+5+0+4 = 14, no és 4)
- 5604 (5+6+0+4 = 15, no és 4)
- 5704 (5+7+0+4 = 16, no és 4)
- 5804 (5+8+0+4 = 17, no és 4)
- 5904 (5+9+0+4 = 18, no és 4)
- 6004 (6+0+0+4 = 10, no és 4)
- 6014 (6+0+1+4 = 11, no és 4)
- 6104 (6+1+0+4 = 11, no és 4)
- 6204 (6+2+0+4 = 12, no és 4)
- 6304 (6+3+0+4 = 13, no és 4)
- 6404 (6+4+0+4 = 14, no és 4)
- 6504 (6+5+0+4 = 15, no és 4)
- 6604 (6+6+0+4 = 16, no és 4)
- 6704 (6+7+0+4 = 17, no és 4)
- 6804 (6+8+0+4 = 18, no és 4)
- 6904 (6+9+0+4 = 19, no és 4)
- 7004 (7+0+0+4 = 11, no és 4)
- 7014 (7+0+1+4 = 12, no és 4)
- 7104 (7+1+0+4 = 12, no és 4)
- 7204 (7+2+0+4 = 13, no és 4)
- 7304 (7+3+0+4 = 14, no és 4)
- 7404 (7+4+0+4 = 15, no és 4)
- 7504 (7+5+0+4 = 16, no és 4)
- 7604 (7+6+0+4 = 17, no és 4)
- 7704 (7+7+0+4 = 18, no és 4)
- 7804 (7+8+0+4 = 19, no és 4)
- 7904 (7+9+0+4 = 20, no és 4)
- 8004 (8+0+0+4 = 12, no és 4)
- 8014 (8+0+1+4 = 13, no és 4)
- 8104 (8+1+0+4 = 13, no és 4)
- 8204 (8+2+0+4 = 14, no és 4)
- 8304 (8+3+0+4 = 15, no és 4)
- 8404 (8+4+0+4 = 16, no és 4)
- 8504 (8+5+0+4 = 17, no és 4)
- 8604 (8+6+0+4 = 18, no és 4)
- 8704 (8+7+0+4 = 19, no és 4)
- 8804 (8+8+0+4 = 20, no és 4)
- 8904 (8+9+0+4 = 21, no és 4)
- 9004 (9+0+0+4 = 13, no és 4)
- 9014 (9+0+1+4 = 14, no és 4)
- 9104 (9+1+0+4 = 14, no és 4)
- 9204 (9+2+0+4 = 15, no és 4)
- 9304 (9+3+0+4 = 16, no és 4)
- 9404 (9+4+0+4 = 17, no és 4)
- 9504 (9+5+0+4 = 18, no és 4)
- 9604 (9+6+0+4 = 19, no és 4)
- 9704 (9+7+0+4 = 20, no és 4)
- 9804 (9+8+0+4 = 21, no és 4)
- 9904 (9+9+0+4 = 22, no és 4)
- 10004 (1+0+0+0+4 = 5, no és 4)
- 10014 (1+0+0+1+4 = 6, no és 4)
- 10024 (1+0+0+2+4 = 7, no és 4)
- 10034 (1+0+0+3+4 = 8,
